net,length_um
stage_2._0253_,112.34
stage_4._0159_,112.125
stage_4.input_fifo$D_OUT\[34\],112.02
clknet_leaf_40_CLK,111.62
stage_2._0399_,111.47
stage_4.input_fifo$D_OUT\[18\],111.28
stage_2.input_fifo$D_OUT\[41\],111.03
stage_4._0314_,110.66
clknet_leaf_13_CLK,110.275
net112,110.22
input_1._078_,109.96
stage_2.input_fifo._231_,109.77
stage_2._0344_,109.74
clknet_leaf_46_CLK,109.68
stage_4._0243_,109.44
stage_4.input_fifo$D_OUT\[45\],109.24
stage_4.input_fifo$D_OUT\[51\],109.19
stage_2._0142_,109.17
stage_4.input_fifo$D_OUT\[33\],108.81
net194,108.78
stage_4._0359_,108.76
stage_3._0664_,108.18
stage_4.input_fifo$D_OUT\[49\],108.115
stage_3._0704_,108.09
clknet_leaf_14_CLK,108.06
net133,107.8
stage_4.input_fifo$D_OUT\[20\],107.68
stage_2._0285_,107.58
stage_4._0015_,107.54
clknet_leaf_43_CLK,107.14
stage_2.input_fifo$D_OUT\[92\],106.96
clknet_leaf_45_CLK,106.85
stage_2._0424_,106.59
stage_3._0662_,106.4
input_2._078_,106.38
net62,106.22
stage_4.input_fifo$D_OUT\[3\],106.1
stage_4._0277_,105.76
stage_4._0207_,105.65
stage_2._0220_,105.52
stage_4.input_fifo$D_OUT\[28\],105.44
stage_2._0069_,105.36
net102,105.3
stage_2._0407_,105.24
stage_4.input_fifo$D_OUT\[53\],105.03
stage_2._0073_,104.87
net37,104.86
stage_3._0162_,104.2
stage_4.input_fifo$D_OUT\[62\],104.15
stage_2.input_fifo$D_OUT\[93\],104.14
stage_4.input_fifo$D_OUT\[50\],103.95
stage_2._0390_,103.64
stage_2.input_fifo$D_OUT\[44\],103.6
net36,103.54
stage_4._0351_,103.32
net42,103.2
stage_4.input_fifo$D_OUT\[25\],103.19
stage_4.input_fifo$D_OUT\[36\],103.05
stage_4.input_fifo$D_OUT\[48\],102.99
stage_4._0258_,102.78
_039_,102.65
stage_3._0665_,102.62
net63,102.355
net236,102.17
stage_4.input_fifo$DEQ,102.06
stage_2.input_fifo$D_OUT\[29\],102.02
stage_2._0067_,101.38
stage_4.input_fifo$D_OUT\[10\],101.22
net208,100.72
stage_4.input_fifo$D_OUT\[19\],100.52
stage_2._0417_,100.5
clknet_leaf_15_CLK,100.46
stage_4.input_fifo$D_OUT\[37\],100.45
stage_4._0155_,100.42
stage_4.input_fifo$D_OUT\[8\],100.27
stage_2._0426_,100.14
stage_4._0229_,99.995
stage_2.input_fifo$D_OUT\[89\],99.65
net157,99.58
stage_3._0147_,99.48
net145,99.24
stage_4._0233_,99.11
stage_2.input_fifo$D_OUT\[94\],99.08
stage_2.input_fifo$D_OUT\[24\],98.93
stage_2._0186_,98.86
stage_3.input_fifo$D_OUT\[60\],98.755
stage_2.input_fifo$D_OUT\[90\],98.66
stage_2.input_fifo$D_OUT\[87\],98.5
stage_3._0001_,98.34
stage_2._0366_,98.21
stage_2.input_fifo$D_OUT\[100\],97.98
stage_3._0663_,97.62
stage_4.input_fifo$D_OUT\[56\],97.6
stage_2.input_fifo._275_,97.48
stage_4.input_fifo$D_OUT\[41\],97.14
stage_2._0199_,97.07
_034_,96.9
stage_4._0165_,96.85
clknet_leaf_32_CLK,96.84
stage_2._0235_,96.76
net43,96.74
stage_2.input_fifo$D_OUT\[27\],96.68
net156,96.68
net167,96.6
stage_4.input_fifo$D_OUT\[44\],96.42
net206,96.42
stage_2.input_fifo._286_,96.34
stage_2._0267_,96.32
clknet_leaf_4_CLK,96.305
stage_2.input_fifo$D_OUT\[88\],96.22
stage_4.input_fifo$D_OUT\[46\],96.2
stage_2.input_fifo$D_OUT\[42\],95.96
stage_2.input_fifo$D_OUT\[25\],95.92
stage_4._0156_,95.72
net44,95.72
stage_4.input_fifo$D_OUT\[42\],95.56
net126,95.56
stage_3._0746_,95.33
stage_2._0557_,95.32
stage_2._0068_,95.31
stage_4._0610_,95.24
stage_2.input_fifo$D_OUT\[23\],95.06
stage_4._0384_,94.905
clknet_leaf_39_CLK,94.7
stage_2._0382_,94.68
stage_2.input_fifo$D_OUT\[28\],94.48
stage_2.input_fifo$D_OUT\[86\],94.4
stage_4.input_fifo$D_OUT\[27\],94.38
clknet_leaf_36_CLK,94.34
net74,94.24
net46,94
stage_2._0165_,93.87
net193,93.76
stage_2._0187_,93.715
stage_2.input_fifo$D_OUT\[43\],93.64
stage_4._0307_,93.59
stage_3._0645_,93.58
net41,93
stage_2._0017_,92.94
stage_2._0329_,92.66
stage_3._0114_,92.58
stage_2.input_fifo$D_OUT\[21\],92.56
net64,92.48
net45,92.42
stage_4._0366_,92.34
stage_2.input_fifo$D_OUT\[95\],92.19
stage_4._0261_,92.03
clknet_leaf_29_CLK,91.72
net30,91.52
stage_2._0324_,91.48
stage_3._0116_,91.28
stage_3.input_fifo$D_OUT\[5\],91.28
stage_2.input_fifo$D_OUT\[82\],91.18
stage_4._0010_,91.175
stage_2._0288_,90.94
stage_4._0232_,90.92
stage_3.input_fifo._143_,90.74
net114,90.74
net125,90.58
net47,90.52
stage_2._0347_,90.44
stage_2.input_fifo$D_OUT\[101\],90.09
stage_4.input_fifo._129_,90.08
stage_3.input_fifo._220_,89.94
stage_2._0294_,89.92
stage_4._0235_,89.92
stage_2.input_fifo$D_OUT\[91\],89.74
net58,89.6
stage_2.input_fifo._242_,89.2
net138,89.18
stage_2._0260_,89.11
stage_4._0009_,89.045
stage_4._0204_,88.96
stage_2.input_fifo._253_,88.78
stage_2._0430_,88.44
stage_4._0179_,88.36
stage_4._0495_,88.16
stage_4._0253_,88.065
stage_2.input_fifo$D_OUT\[85\],87.82
stage_2.input_fifo$D_OUT\[83\],87.79
stage_4._0242_,87.72
stage_4._0301_,87.43
stage_3.input_fifo._231_,87.06
stage_2._0416_,86.83
input_2.D_OUT\[55\],86.78
stage_3._0124_,86.705
net137,86.54
stage_2.input_fifo$D_OUT\[45\],86.52
stage_4._0170_,86.41
stage_3._0145_,86.32
stage_4.output_fifo._114_,86.295
stage_4.input_fifo._085_,86.24
stage_2.input_fifo$D_OUT\[102\],86.1
stage_3._0148_,86.06
net124,85.94
stage_2._0192_,85.81
stage_2._0020_,85.8
stage_2._0374_,85.68
net11,85.64
stage_3._0129_,85.5
stage_4._0100_,85.48
net49,85.48
clknet_leaf_31_CLK,85.42
stage_2._0099_,85.38
stage_2.input_fifo._209_,85.135
clknet_leaf_1_CLK,84.9
stage_2._0027_,84.78
net239,84.765
stage_4.input_fifo$D_OUT\[26\],84.74
stage_4.input_fifo._071_,84.735
stage_4._0103_,84.71
stage_4._0325_,84.6
stage_3.input_fifo$D_OUT\[61\],84.58
net107,84.32
net135,84.2
stage_4.input_fifo$D_OUT\[52\],84.11
input_2.D_OUT\[58\],84.08
stage_2.input_fifo$D_OUT\[84\],83.9
net61,83.84
stage_3.input_fifo$D_OUT\[76\],83.75
net123,83.64
stage_2.input_fifo$D_OUT\[26\],83.62
stage_3._0855_,83.6
stage_3.input_fifo$D_OUT\[127\],83.36
stage_4._0231_,83.26
clknet_leaf_5_CLK,83.24
stage_4.output_fifo._081_,83.22
stage_3.input_fifo._176_,83.12
net60,83.02
net38,82.82
stage_3._0439_,82.72
clknet_leaf_8_CLK,82.68
stage_4._0320_,82.5
stage_4._0143_,82.42
stage_2.input_fifo$D_OUT\[96\],82.38
stage_4._0151_,82.3
stage_2._0364_,82.01
stage_2._0450_,82
stage_2.input_fifo$D_OUT\[20\],81.98
stage_3._0290_,81.8
clknet_leaf_49_CLK,81.8
stage_4.input_fifo$D_OUT\[60\],81.64
stage_3._0794_,81.56
_043_,81.55
clknet_leaf_27_CLK,81.54
stage_2._0546_,81.44
net106,81.4
net66,81.34
stage_4.input_fifo$D_OUT\[58\],81.22
stage_4.input_fifo$D_OUT\[40\],80.88
clknet_leaf_52_CLK,80.735
net205,80.55
_017_,80.46
stage_4.input_fifo$D_OUT\[6\],80.44
clknet_leaf_34_CLK,80.26
net207,80.24
stage_2._0505_,80.2
stage_3.input_fifo._187_,80.115
stage_4.output_fifo._125_,80.04
_012_,79.58
stage_4._0240_,79.42
stage_4._0539_,79.3
net229,79.2
stage_2.input_fifo$D_OUT\[97\],79.11
net32,78.96
net178,78.82
stage_4.input_fifo$D_OUT\[54\],78.72
stage_4._0097_,78.7
net237,78.7
net152,78.62
stage_4.input_fifo._096_,78.52
stage_2.input_fifo$D_OUT\[47\],78.48
net48,78.48
input_2._067_,78.2
stage_3.input_fifo._165_,78.18
stage_2.input_fifo._198_,78.14
net40,78.08
stage_2._0568_,78.06
stage_4._0327_,78.04
clknet_leaf_10_CLK,78.035
stage_2.input_fifo$D_OUT\[7\],77.76
stage_2.input_fifo$D_OUT\[11\],77.7
stage_4._0181_,77.62
stage_3._0283_,77.6
net4,77.6
stage_2._0373_,77.57
clknet_leaf_19_CLK,77.49
stage_4._0004_,77.07
stage_4._0088_,77.02
stage_4._0213_,76.99
clknet_leaf_2_CLK,76.96
net115,76.94
stage_2._0381_,76.84
net195,76.8
stage_3.input_fifo._198_,76.78
net52,76.78
stage_2._0435_,76.65
stage_2._0091_,76.44
stage_4._0187_,76.32
stage_2.input_fifo._220_,76.14
stage_2._0352_,76.06
stage_3._0515_,76.06
stage_4._0007_,75.72
stage_2.input_fifo$D_OUT\[107\],75.68
stage_4._0249_,75.5
stage_2.input_fifo$D_OUT\[8\],75.46
net50,75.38
clknet_leaf_22_CLK,75.29
stage_3.input_fifo$D_OUT\[71\],75.265
net198,75.16
stage_2._0519_,75.04
stage_2._0479_,74.8
clknet_leaf_7_CLK,74.6
stage_2.input_fifo$D_OUT\[22\],74.48
stage_2._0100_,74.335
stage_4._0392_,74.2
net108,74.16
stage_4._0246_,74.09
stage_4._0172_,73.98
stage_2._0150_,73.72
input_1.D_OUT\[58\],73.68
net65,73.58
stage_2.input_fifo._187_,73.56
stage_2._0209_,73.55
stage_2.input_fifo$D_OUT\[48\],73.5
stage_2.input_fifo$D_OUT\[81\],73.22
stage_2._0088_,73.18
stage_4.input_fifo$D_OUT\[5\],73.16
stage_3.input_fifo._242_,73.08
stage_4._0345_,73.04
net233,72.76
input_1._111_,72.74
stage_4._0484_,72.72
stage_4._0137_,72.7
stage_4._0128_,72.615
clknet_leaf_24_CLK,72.58
stage_2.input_fifo$D_OUT\[75\],72.42
net53,72.42
stage_4._0489_,72.41
stage_4.input_fifo$D_OUT\[4\],72.36
input_2._089_,72.355
stage_2.input_fifo$D_OUT\[98\],72.32
net16,72.26
stage_3._0219_,72.08
stage_2.input_fifo$D_OUT\[80\],72.06
stage_3.input_fifo$D_OUT\[105\],71.9
net59,71.88
net222,71.64
net51,71.42
input_1._089_,71.315
stage_2._0398_,71.24
stage_2.input_fifo$D_OUT\[46\],70.98
stage_3._0215_,70.96
stage_2.input_fifo$D_OUT\[5\],70.92
net5,70.9
net128,70.9
stage_4.output_fifo._092_,70.82
stage_3.input_fifo$D_OUT\[70\],70.76
stage_2.input_fifo$D_OUT\[99\],70.6
stage_4.input_fifo._107_,70.56
stage_4.input_fifo._118_,70.42
net130,70.3
stage_3._0378_,70.22
input_2._111_,69.98
stage_2._0441_,69.94
stage_2.input_fifo$D_OUT\[103\],69.94
stage_2.input_fifo$D_OUT\[6\],69.88
stage_2._0148_,69.84
net228,69.84
net39,69.78
net70,69.66
net17,69.64
stage_2._0533_,69.62
stage_2._0328_,69.59
stage_2.input_fifo$D_OUT\[9\],69.52
stage_3._0111_,69.52
stage_4._0407_,69.5
stage_4._0199_,69.46
stage_2.input_fifo$D_OUT\[10\],69.42
stage_2._0579_,69.34
stage_2.input_fifo._264_,69.32
stage_2._0144_,69.25
input_1._100_,69.135
stage_4.output_fifo._103_,68.97
net68,68.94
stage_4._0300_,68.86
clknet_leaf_18_CLK,68.72
stage_2._0302_,68.12
stage_2._0301_,68.02
net69,68.02
stage_2._0197_,67.92
net197,67.92
stage_2._0363_,67.76
net34,67.7
net117,67.62
stage_4._0361_,67.43
net71,67.24
stage_3._0100_,67.2
stage_2._0458_,67.12
stage_2._0298_,66.985
input_2.D_OUT\[57\],66.82
_021_,66.815
stage_2._0343_,66.72
net110,66.5
stage_3.input_fifo$D_OUT\[88\],66.44
net116,66.34
stage_2._0271_,66.205
stage_3.input_fifo$D_OUT\[72\],66.16
net111,66.08
stage_2._0332_,65.94
net78,65.86
net118,65.84
stage_3.input_fifo$D_OUT\[82\],65.8
net7,65.56
stage_3._0095_,65.55
input_2._100_,65.3
stage_4._0171_,65.24
stage_4.input_fifo$D_OUT\[63\],65.24
stage_3._0618_,65.22
stage_2._0537_,65
stage_2._0440_,64.69
stage_3.input_fifo$D_OUT\[104\],64.66
stage_3.input_fifo$D_OUT\[73\],64.5
stage_4._0121_,64.48
clknet_leaf_21_CLK,64.48
stage_4._0270_,64.44
stage_3.input_fifo$D_OUT\[64\],64.32
stage_4._0262_,64.15
input_1._067_,64.02
stage_4._0226_,63.82
stage_2._0317_,63.8
net122,63.66
stage_2._0152_,63.44
stage_3.input_fifo$D_OUT\[75\],63.42
stage_2._0454_,63.38
net73,63.3
stage_2.input_fifo$D_OUT\[13\],63.28
input_2.D_OUT\[59\],63.12
stage_2._0233_,63.12
net15,62.96
stage_2.input_fifo$D_OUT\[79\],62.92
stage_4._0337_,62.92
net184,62.9
net129,62.8
clknet_leaf_23_CLK,62.76
stage_4._0388_,62.57
stage_2._0372_,62.56
stage_3._0434_,62.4
net18,62.4
_144_,62.36
stage_4._0374_,62.345
net241,62.19
net6,62.16
stage_2.input_fifo$D_OUT\[78\],62.06
net179,62.02
stage_4._0364_,61.94
stage_2.input_fifo$D_OUT\[104\],61.91
stage_2.input_fifo._165_,61.88
stage_2._0276_,61.835
stage_4._0452_,61.65
stage_4._0506_,61.54
net19,61.5
clknet_leaf_16_CLK,61.5
stage_3._0673_,61.46
stage_4._0251_,61.45
stage_2._0297_,61.445
stage_2.input_fifo$D_OUT\[108\],61.44
stage_4._0312_,61.18
net415,61.08
stage_2._0535_,61.06
stage_2._0299_,61.045
stage_2.read_output_2\[116\],60.96
net57,60.78
stage_2._0070_,60.5
clknet_leaf_28_CLK,60.36
stage_4._0450_,60.01
clknet_leaf_3_CLK,59.86
stage_2._0525_,59.8
stage_3._0157_,59.74
stage_2._0308_,59.625
stage_2._0032_,59.58
stage_3._0729_,59.45
net186,59.4
net189,59.32
stage_3.input_fifo$D_OUT\[63\],59.31
stage_4._0417_,59.3
stage_3.input_fifo$D_OUT\[74\],59.22
stage_4._0016_,59.06
stage_2.input_fifo$D_OUT\[111\],59
stage_3.input_fifo$D_OUT\[84\],58.84
stage_4._0465_,58.82
net183,58.78
_038_,58.74
net192,58.72
stage_2._0270_,58.7
net120,58.7
stage_2.read_output_2\[117\],58.66
net238,58.59
stage_2.input_fifo$D_OUT\[15\],58.44
stage_2._0082_,58.38
stage_3._0121_,58.255
stage_2._0529_,58.24
input_1.D_OUT\[53\],58.17
net190,58.16
stage_2._0307_,58.11
net33,57.9
net35,57.78
stage_4._0471_,57.77
net104,57.76
net54,57.74
stage_2.input_fifo$D_OUT\[18\],57.52
net8,57.5
net180,57.46
stage_2.input_fifo$D_OUT\[76\],57.4
net188,57.34
stage_3.input_fifo$D_OUT\[89\],57.315
stage_3._0106_,57.28
stage_3._0724_,57.28
stage_3.input_fifo$D_OUT\[68\],57.18
stage_4._0154_,57
net240,56.98
stage_3.input_fifo$D_OUT\[62\],56.86
stage_4._0105_,56.74
net103,56.64
net26,56.62
stage_4.input_fifo$D_OUT\[61\],56.44
stage_2._0295_,56.36
stage_2._0303_,56.285
stage_2._0157_,56.18
stage_2._0204_,56.105
stage_2.read_output_2\[115\],56.1
stage_3.input_fifo$D_OUT\[77\],56.05
stage_3.input_fifo$D_OUT\[49\],55.84
net196,55.8
stage_4._0357_,55.78
stage_3.input_fifo$D_OUT\[66\],55.75
stage_2.input_fifo$D_OUT\[77\],55.68
stage_3._0153_,55.63
net204,55.6
stage_2._0376_,55.56
stage_2._0249_,55.54
stage_2._0141_,55.34
stage_2.input_fifo$D_OUT\[110\],55.1
_013_,55.02
stage_3.input_fifo$D_OUT\[115\],55
net127,54.96
stage_2._0214_,54.785
stage_3._0220_,54.7
net55,54.62
stage_2._0275_,54.185
stage_2._0145_,53.92
stage_4._0430_,53.84
stage_4._0372_,53.74
_134_,53.73
stage_2._0296_,53.7
stage_2.input_fifo$D_OUT\[109\],53.66
net27,53.5
net72,53.46
net100,53.22
net56,53.18
stage_3.input_fifo$D_OUT\[80\],53.16
net24,53.08
stage_3._0163_,53
stage_2._0231_,52.84
stage_3.input_fifo$D_OUT\[21\],52.82
_103_,52.8
stage_2._0282_,52.72
stage_2._0085_,52.63
stage_3._0216_,52.54
stage_4._0109_,52.54
stage_2.input_fifo$D_OUT\[113\],52.5
stage_2.input_fifo$D_OUT\[105\],52.48
stage_3._0151_,52.48
stage_2.input_fifo$D_OUT\[49\],52.4
stage_2._0531_,52.27
stage_3._0489_,52.26
stage_2.input_fifo$D_OUT\[52\],52.08
stage_4._0424_,52.02
_002_,51.72
clknet_leaf_48_CLK,51.64
clknet_leaf_26_CLK,51.62
stage_2._0272_,51.575
stage_3._0619_,51.56
net201,51.44
stage_2._0401_,51.43
stage_3.read_output_3\[52\],51.42
stage_3.input_fifo$D_OUT\[11\],51.3
stage_2._0007_,51.24
net31,51.22
stage_3.input_fifo$D_OUT\[100\],51.2
stage_3.input_fifo$D_OUT\[69\],51.18
clknet_leaf_17_CLK,51.18
net119,51.12
net121,51.12
input_1.D_OUT\[55\],51.095
stage_3.input_fifo$D_OUT\[109\],51.08
stage_4._0459_,51.06
clknet_leaf_30_CLK,51.06
stage_2._0250_,51.04
stage_2._0409_,50.86
stage_4._0244_,50.68
stage_3._0119_,50.66
net29,50.54
input_1.D_OUT\[61\],50.32
stage_2._0362_,50.24
stage_3.input_fifo$D_OUT\[83\],50.18
stage_3.input_fifo$D_OUT\[79\],49.98
stage_3.input_fifo$D_OUT\[108\],49.96
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[22\],49.96
net153,49.9
stage_2.input_fifo$D_OUT\[106\],49.84
stage_2.feed_output_stage_1\[57\],49.78
stage_3.input_fifo$D_OUT\[106\],49.76
stage_2.input_fifo$D_OUT\[14\],49.66
stage_2._0283_,49.6
net177,49.58
input_2.D_OUT\[60\],49.51
stage_2.read_output_2\[6\],49.5
stage_2._0423_,49.46
stage_2._0445_,49.4
net101,49.4
stage_4._0443_,49.38
input_1.D_OUT\[57\],49.3
stage_4.input_fifo$D_OUT\[66\],49.265
stage_2._0355_,49.25
_093_,49.2
stage_2._0252_,49.08
net20,49.06
stage_4._0092_,49.04
stage_3.input_fifo$D_OUT\[18\],48.98
stage_4._0193_,48.97
stage_3.input_fifo$D_OUT\[67\],48.9
stage_2._0019_,48.8
stage_2._0273_,48.78
input_2.D_OUT\[54\],48.77
stage_2._0323_,48.6
net151,48.58
stage_3.input_fifo$D_OUT\[14\],48.52
stage_4._0326_,48.52
net22,48.5
input_1.D_OUT\[59\],48.34
stage_2._0406_,48.32
net21,48.28
net23,48.28
stage_2._0314_,48.08
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[55\],48.06
stage_2._0219_,48.025
stage_3._0120_,47.94
stage_3.input_fifo$D_OUT\[65\],47.875
stage_4._0458_,47.82
stage_4.input_fifo$D_OUT\[7\],47.8
stage_2._0306_,47.76
stage_2.input_fifo$D_OUT\[17\],47.76
stage_2.input_fifo$D_OUT\[16\],47.74
stage_2.input_fifo$D_OUT\[12\],47.62
stage_4.input_fifo$D_OUT\[65\],47.56
stage_3.input_fifo$D_OUT\[43\],47.46
_029_,47.26
stage_3.input_fifo$D_OUT\[6\],47.235
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[40\],47.22
clknet_leaf_12_CLK,47.21
stage_3.input_fifo$D_OUT\[45\],47.14
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[25\],47.1
stage_3._0617_,47.04
stage_2._0251_,46.95
stage_3.input_fifo$D_OUT\[41\],46.84
stage_3.input_fifo$D_OUT\[13\],46.7
stage_2._0337_,46.67
stage_4._0191_,46.63
stage_2._0174_,46.625
stage_4._0335_,46.48
stage_4._0451_,46.38
_092_,46.26
stage_2._0140_,46.2
stage_2._0155_,46.18
stage_4._0412_,46.15
stage_2._0034_,46.08
input_2.D_OUT\[61\],46.04
stage_3.input_fifo$D_OUT\[42\],45.74
stage_2.input_fifo$D_OUT\[72\],45.69
stage_3.read_output_3\[68\],45.68
stage_3.input_fifo$D_OUT\[22\],45.53
stage_3._0089_,45.5
net77,45.48
net139,45.4
stage_3._0229_,45.38
stage_3.input_fifo$D_OUT\[96\],45.32
stage_2._0265_,45.28
input_2.D_OUT\[49\],45.26
net182,45.24
stage_3.input_fifo$D_OUT\[38\],45.16
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[54\],45.16
stage_4._0347_,45.12
stage_2._0154_,45.085
stage_3._0130_,45.04
stage_3._0679_,45
net76,45
stage_3.input_fifo$D_OUT\[46\],44.98
stage_2._0527_,44.94
clknet_leaf_50_CLK,44.88
stage_3.input_fifo$D_OUT\[17\],44.7
stage_4._0397_,44.66
stage_3.input_fifo$D_OUT\[103\],44.64
stage_2.read_output_2\[16\],44.56
net9,44.54
net142,44.48
stage_3.input_fifo$D_OUT\[29\],44.42
stage_2._0338_,44.34
